         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      403    0.002    0.000    0.268    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:633(<listcomp>)
    39025    0.092    0.000    0.257    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:158(is_object_dtype)
    16518    0.028    0.000    0.240    0.000 <__array_function__ internals>:177(concatenate)
494018/493276    0.175    0.000    0.238    0.000 {built-in method builtins.getattr}
     9388    0.011    0.000    0.236    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/_config/config.py:260(__call__)
    42496    0.064    0.000    0.231    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:696(<genexpr>)
109293/107386    0.076    0.000    0.229    0.000 {built-in method numpy.asarray}
      184    0.001    0.000    0.228    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:4988(drop)
     2704    0.226    0.000    0.226    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
        4    0.002    0.001    0.226    0.056 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/string.py:164(<listcomp>)
      261    0.005    0.000    0.226    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1251(format_array)
     9392    0.032    0.000    0.225    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/_config/config.py:134(_get_option)
    25472    0.031    0.000    0.221    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:460(is_categorical_dtype)
    17014    0.141    0.000    0.219    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:188(external_values)
      975    0.012    0.000    0.215    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:6161(astype)
    28212    0.041    0.000    0.208    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/base.py:286(is_dtype)
     8977    0.053    0.000    0.206    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2385(new_block)
     2716    0.003    0.000    0.202    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:6361(_maybe_cast_listlike_indexer)
    29515    0.160    0.000    0.201    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:265(__init__)
      371    0.002    0.000    0.201    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:630(_validate_params)
    11098    0.086    0.000    0.193    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2372(new_block_2d)
     6606    0.053    0.000    0.193    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:5314(equals)
     1383    0.014    0.000    0.193    0.000 {built-in method builtins.sorted}
     2752    0.004    0.000    0.190    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:2636(inferred_type)
    28205    0.044    0.000    0.189    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_dtype.py:330(_name_includes_bit_suffix)
