seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",31,133,74,12,0.9172413793103448,0.656,0.642512077294686,0.7556818181818181
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",22,157,33,38,0.8051282051282052,0.716,0.8263157894736842,0.8155844155844156
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",22,133,73,22,0.8580645161290322,0.62,0.6456310679611651,0.736842105263158
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,23,133,76,18,0.8807947019867549,0.624,0.6363636363636364,0.7388888888888888
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",28,151,52,19,0.888235294117647,0.716,0.7438423645320197,0.8096514745308312
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",20,131,82,17,0.8851351351351351,0.604,0.6150234741784038,0.7257617728531855
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",21,141,64,24,0.8545454545454545,0.648,0.6878048780487804,0.762162162162162
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",23,138,68,21,0.8679245283018868,0.644,0.6699029126213593,0.756164383561644
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",27,127,80,16,0.8881118881118881,0.616,0.6135265700483091,0.7257142857142858
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",23,140,64,23,0.8588957055214724,0.652,0.6862745098039216,0.7629427792915532
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",25,129,77,19,0.8716216216216216,0.616,0.6262135922330098,0.7288135593220338
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",31,133,74,12,0.9172413793103448,0.656,0.642512077294686,0.7556818181818181
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",22,157,33,38,0.8051282051282052,0.716,0.8263157894736842,0.8155844155844156
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",22,133,73,22,0.8580645161290322,0.62,0.6456310679611651,0.736842105263158
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,23,133,76,18,0.8807947019867549,0.624,0.6363636363636364,0.7388888888888888
